touchpoint_id,anonymous_id,patient_id,channel,utm_medium,campaign,event_type,cost,event_at
tp_000001,anon_ca2d15b85ada,,instagram,paid_social,retargeting,click,3.57,2024-09-19 16:10:39
tp_000002,anon_ca2d15b85ada,pat_000001,instagram,paid_social,retargeting,signup,0.0,2024-10-01 13:03:51
tp_000003,anon_6fbd0ad9c299,,google,cpc,mental_health,click,5.42,2024-09-24 08:47:27
tp_000004,anon_6fbd0ad9c299,pat_000002,google,cpc,skin_health,signup,0.0,2024-10-01 17:45:42
tp_000005,anon_5b4d2df4754a,,google,cpc,weight_mgmt,click,6.18,2024-09-19 09:27:09
tp_000006,anon_5b4d2df4754a,pat_000003,google,cpc,weight_mgmt,signup,0.0,2024-10-01 09:50:19
tp_000007,anon_d0b4a995b888,,email,email,weight_mgmt,click,0.21,2024-09-20 12:54:51
tp_000008,anon_d0b4a995b888,,referral,referral,retargeting,visit,0.0,2024-09-22 13:54:12
tp_000009,anon_d0b4a995b888,,organic,organic,brand,visit,0.0,2024-09-28 08:35:03
tp_000010,anon_d0b4a995b888,pat_000004,email,email,mental_health,signup,0.0,2024-10-01 15:18:10
tp_000011,anon_40b7604a90d8,,google,cpc,retargeting,click,5.13,2024-09-26 18:38:31
tp_000012,anon_40b7604a90d8,pat_000005,google,cpc,skin_health,signup,0.0,2024-10-01 18:37:22
tp_000013,anon_4f9d28bce299,,facebook,paid_social,retargeting,click,4.79,2024-09-21 17:37:56
tp_000014,anon_4f9d28bce299,,google,cpc,retargeting,click,6.57,2024-09-24 08:12:32
tp_000015,anon_4f9d28bce299,,email,email,brand,click,0.26,2024-09-29 17:46:30
tp_000016,anon_4f9d28bce299,pat_000006,facebook,paid_social,mental_health,signup,0.0,2024-10-01 19:40:06
tp_000017,anon_323b8e2eac7f,,organic,organic,mental_health,visit,0.0,2024-09-18 17:14:30
tp_000018,anon_323b8e2eac7f,,instagram,paid_social,weight_mgmt,click,3.41,2024-09-22 10:56:27
tp_000019,anon_323b8e2eac7f,,instagram,paid_social,retargeting,click,5.31,2024-09-28 18:54:12
tp_000020,anon_323b8e2eac7f,pat_000007,organic,organic,mental_health,signup,0.0,2024-10-01 16:53:41
tp_000021,anon_e6557704f3d5,,email,email,weight_mgmt,click,0.25,2024-09-22 18:00:31
tp_000022,anon_e6557704f3d5,,google,cpc,retargeting,click,6.63,2024-09-23 15:42:10
tp_000023,anon_e6557704f3d5,,referral,referral,retargeting,visit,0.0,2024-09-29 11:39:42
tp_000024,anon_e6557704f3d5,pat_000008,email,email,mental_health,signup,0.0,2024-10-01 15:15:48
tp_000025,anon_3a89944551da,,email,email,mental_health,click,0.14,2024-09-30 17:45:18
tp_000026,anon_3a89944551da,pat_000009,email,email,weight_mgmt,signup,0.0,2024-10-02 11:29:12
tp_000027,anon_eea830c2debc,,google,cpc,brand,click,5.89,2024-09-26 10:18:15
tp_000028,anon_eea830c2debc,,google,cpc,brand,click,5.19,2024-09-28 10:17:55
tp_000029,anon_eea830c2debc,pat_000010,google,cpc,skin_health,signup,0.0,2024-10-02 09:52:03
tp_000030,anon_08ee85fde27b,,facebook,paid_social,retargeting,click,3.69,2024-09-25 08:58:33
tp_000031,anon_08ee85fde27b,pat_000011,facebook,paid_social,weight_mgmt,signup,0.0,2024-10-02 10:42:57
tp_000032,anon_efcd567abff5,,facebook,paid_social,retargeting,click,4.77,2024-09-19 13:33:33
tp_000033,anon_efcd567abff5,,instagram,paid_social,brand,click,4.23,2024-09-24 09:48:23
tp_000034,anon_efcd567abff5,,referral,referral,weight_mgmt,visit,0.0,2024-09-25 12:49:03
tp_000035,anon_efcd567abff5,pat_000012,facebook,paid_social,brand,signup,0.0,2024-10-02 10:51:32
tp_000036,anon_7292bab0e977,,facebook,paid_social,mental_health,click,3.91,2024-09-28 16:15:55
tp_000037,anon_7292bab0e977,,google,cpc,weight_mgmt,click,6.86,2024-10-01 19:22:43
tp_000038,anon_7292bab0e977,pat_000013,facebook,paid_social,retargeting,signup,0.0,2024-10-02 11:36:04
tp_000039,anon_508584c3e09f,,email,email,retargeting,click,0.27,2024-09-29 18:21:43
